image,gt_x,gt_y,pred_x,pred_y,error_px,passed,time_s,score,zoom_pred,zoom_gt,rot_pred,rot_gt
d00,199.86108498367622,677.4343808224756,198.6840355591827,676.0192251724611,1.8406821728556484,1,0.7525609000003897,0.8647660527910505,10.059999999999997,10.031967954961114,3.0625,2.885198945396743
d01,271.14301581374673,253.27427948836836,271.2684738662761,252.38432919992186,0.898749819944612,1,0.9661258999840356,0.9646977015904018,9.94,9.961532632119752,2.0675,1.9331196194397062
d02,607.2781025675148,610.043291826141,606.8139345713824,609.3033206077583,0.873504054179577,1,0.9184803999960423,0.9598048073904855,9.369999999999997,9.40261138325037,2.4274999999999993,2.567593904128134
d03,238.1834746696739,655.0727636676827,238.02401039275628,655.4132480451118,0.37597668396610046,1,1.154318000015337,0.9576410566057477,10.999999999999998,10.995725054528553,1.0525,1.2264537473348973
d04,356.6875748872738,776.8440106545931,355.3864025101162,775.8011095703822,1.6675407720731252,1,1.1628072000166867,0.9586826733180455,10.889999999999999,10.776938336623706,1.0,0.8135565494509226
d05,555.3446713539779,673.0826123038768,555.3771081064044,672.4392745572866,0.6441549496012,1,0.8531270999810658,0.9614303452627999,10.629999999999999,10.676252615415558,0.9325,1.1222088258816452
d06,835.71478073476,333.1352983601738,834.8886858486151,331.82045097251904,1.5528220805157755,1,1.151094100001501,0.9691491808210101,9.159999999999998,9.212473175634209,1.6925,1.832399956318394
d07,51.54203284011406,607.6012717498061,51.006154929806385,606.5158823129566,1.2104690679154744,1,0.9073323000047822,0.9758961541312081,10.079999999999998,10.088853142697452,2.9425,2.8767424755032494
d08,756.139032712995,915.4536624992031,755.8297739097526,914.8217941774723,0.703490286635068,1,0.9200942000024952,0.971693856375558,9.449999999999998,9.496930708939697,1.8074999999999997,1.8440916241601644
d09,319.2193987839574,339.71572630150655,317.86454239820114,340.33041515585626,1.487776264660196,1,0.8088844000012614,0.940394674028669,9.159999999999998,9.1723748968703,1.5524999999999995,1.9305260710538557
d10,671.0951558512013,235.29756081696442,670.8697887594236,235.15878083489812,0.2646700010931589,1,1.1213279000076,0.9738580158778599,10.889999999999999,10.862841038918743,0.24,0.1331023976361786
d11,150.12955552311584,286.2484561876494,148.85963554298993,286.881399785445,1.4189130889217294,1,1.324872700002743,0.9605246952601841,9.28,9.27865266200376,0.5,0.6840165085016753
d12,945.2062140193542,285.12826226589164,945.0731672754762,285.0211817709149,0.17078544569432477,1,0.8900412000075448,0.9637109211512974,9.129999999999999,9.129224789272609,1.6925,1.6647795694958014
d13,612.2903838762543,347.5485627755425,610.4283007984852,346.1243280172348,2.3443118468509456,1,0.9340739999897778,0.8357793944222587,10.869999999999997,10.844527653633646,0.0,0.4869499147884948
d14,557.7467488669464,131.23452914516386,555.6894214825892,130.47694335113428,2.1923804874477333,1,1.123787499993341,0.9675614493233817,10.5,10.546004995903946,1.3125,1.5292919064586328
d15,236.8012111389083,784.6509669829794,236.1411531302742,784.187317598295,0.8066271298935253,1,0.6671411999850534,0.9387693405151367,10.839999999999998,10.882545691408327,0.9475,0.9371605145913886
d16,176.95022451450606,104.59535219348133,176.1259628429551,104.46901070958948,0.8338881662069534,1,1.3474476999836043,0.9756940432957241,9.369999999999997,9.398123142045916,2.1875,2.2457016054229797
d17,911.122318578137,559.9352718697568,910.4376800449211,560.2145493261809,0.739409101127865,1,0.8394384999992326,0.969895771571568,10.339999999999998,10.285117386460282,0.12,0.019111961778375708
d18,921.0245883398645,105.56502691740528,920.5250016614739,105.00121129653417,0.7533093013919788,1,1.054205099993851,0.9613663809640067,9.109999999999998,9.084448022263352,0.0,0.018638616395193153
d19,763.1784933232967,891.5038711454092,764.4160053755253,889.7808378396519,2.1213863043208274,1,0.9706938000163063,0.977808952331543,10.629999999999999,10.629230345152827,0.62,0.894051807761446
d20,81.53335305159294,460.7413428495112,81.04790413675273,460.87803509276483,0.5043266979699129,1,0.9444280000170693,0.8817777633666992,9.629999999999999,9.627961694440128,1.1925,1.257532119189111
d21,626.8120122165385,299.8773045990742,625.8091047460571,298.8789239324077,1.4151280330489158,1,0.9395761000050697,0.9475656236921038,9.389999999999999,9.35049087408883,1.0725,1.306553212837961
d22,255.14552080979584,536.1767854996054,254.60205037440642,536.6878205083461,0.7460005993971908,1,0.7517917999939527,0.9578804288591657,10.159999999999998,10.237295139298864,2.0675,2.256354277336169
d23,577.4908877485636,278.04726444254624,575.7248332804111,277.17961489130556,1.967679884597535,1,0.8472754999820609,0.9546179090227399,9.449999999999998,9.487595590227784,0.6925,1.0303796748159872
d24,269.1305565964498,255.47372862301697,269.66337542019926,253.82858964515555,1.7292709895851073,1,0.6493931000004523,0.930279186793736,10.999999999999998,10.983516838009592,1.5524999999999995,1.2591205645450043
d25,525.2758868347067,679.7405768445475,525.9842428797187,679.1651015316369,0.9126555331967391,1,1.162567699997453,0.9325823102678571,10.469999999999999,10.423094105827223,2.1875,2.580370405003859
d26,445.7440760216706,625.248458582005,444.8987660599116,624.6940042407049,1.0109246005689614,1,1.276080900017405,0.9668112482343402,9.28,9.281110445534834,0.38,0.2911163099477563
d27,943.0058437885133,648.8370327071914,943.7303905954059,644.5806501416635,4.317610521979532,1,0.8840795000141952,0.8602397782461983,10.339999999999998,10.446382771525297,1.9475,2.4490903723256525
d28,47.417315196077,282.53597888571574,46.33785848900933,283.6745404580595,1.568932514944873,1,1.0330752999871038,0.9595362799508231,10.719999999999997,10.6712072985917,0.76,0.9599966474023817
d29,242.3916325753385,231.06662788832193,243.70426713167998,229.04478349349776,2.4105734245991655,1,0.6539462999789976,0.927586487361363,10.92,10.949222841572727,3.1875,2.8371821921901748
d30,653.0384956065786,870.4351710604216,650.8459214597196,870.7378073501005,2.21336172220111,1,1.18892469999264,0.9707256044660296,10.579999999999998,10.607337923571896,2.0675,1.8240584197944616
d31,784.8625565272495,587.4898718575591,784.2882937632079,586.7974269432334,0.8995875063273416,1,0.7745909999939613,0.9217837197440011,10.369999999999997,10.371242623698011,2.4475,2.4992092664536725
d32,190.80424599802222,657.0615956022953,191.19393764536682,658.274845698134,1.2742979930388192,1,1.0684492000145838,0.9875820704868862,9.419999999999998,9.438993302165132,2.0675,2.369507838703872
d33,698.8859601745644,916.9376199871476,700.7526326214127,915.4783722688932,2.369360657868142,1,0.8710646000108682,0.7965688024248395,10.5,10.529614871876815,1.3125,1.6190758421121285
d34,75.41955377500756,134.69210202105737,75.7683927028481,133.54481734750738,1.1991458292216377,1,1.0630909000174142,0.9808315549577985,9.919999999999998,9.970889011666321,0.62,0.5243767868633077
d35,301.5907864802888,739.4559283331524,301.58781191284714,739.3535206793779,0.10245084481385545,1,0.8079899000003934,0.9462449210030692,9.419999999999998,9.400154537497082,0.38,0.484973277594284
d36,152.59107280881523,597.5520357532076,152.11025374008068,596.7214040991536,0.9597582620510957,1,0.8603915999992751,0.9296652930123466,10.339999999999998,10.380685913288184,2.4274999999999993,2.376791994090588
d37,572.8079068970496,190.63257494719963,572.4555678457984,190.22046543745205,0.5421965096355575,1,0.8958983999909833,0.9722821371895927,9.809999999999999,9.888131661244659,0.24,0.20046866998068602
d38,107.176939597488,806.1862877899097,105.51363045788464,804.4747955502758,2.3865881463325764,1,0.8932818999746814,0.926461900983538,10.419999999999998,10.384696597793939,1.0725,0.9051550159693418
d39,340.94258628290316,865.3271075767162,342.1324939389256,865.9981432282619,1.3660779902722346,1,0.9992106000136118,0.8173459597996303,10.689999999999998,10.793606161438731,1.3124999999999998,1.649765885146472
